OrderNumber,OrderDateTime,CustomerNumber,CustomerName,Address1,Address2,City,Province,OrderTotal,OrderSource,ContactName,ContactEmail,ScheduledDelivery,ScheduledDeliveryDate
881146,12/31/2023 22:01,CUST0436,Carpenter-Davis,308 Joseph Pike,,Saunderschester,WA,3628.98,Fax,J.F. Sebastian,whitecesar@hotmail.com,1,6/25/2025
794580,12/4/2024 5:02,CUST0093,Cruz LLC,969 Andrew Curve,,Lake Wendymouth,WY,3864.12,Online,Roy Batty,andrew16@yahoo.com,0,
874117,10/26/2024 18:58,CUST0470,Hernandez-Watts,3175 Vega Parkway,,Lake Tara,WV,4765.36,SalesRep,Roy Batty,gutierrezscott@gmail.com,0,
151911,1/2/2024 19:25,CUST0326,"Butler, Smith and Krueger",2080 Mendoza Flat Suite 737,,Hudsonshire,KY,732.61,SalesRep,Bryant,guerrerojesse@flores.com,1,8/6/2024
315401,9/7/2024 16:15,CUST0162,"Jones, Nelson and Cruz",356 Robinson Plains,,New Candaceberg,OK,2385.31,Phone,Pris Stratton,katherinedavies@hunter-duran.net,1,11/18/2024
447710,5/12/2023 10:20,CUST0359,Williams Group,267 Parrish Fords Suite 345,,Russoview,ME,509.13,Cash Counter,Rachael,coxjonathan@anderson.info,1,8/9/2024
749784,1/24/2023 8:48,CUST0416,Richard-Bradley,768 Simpson Falls Suite 560,Apt. 907,Michaelstad,TN,167.99,Fax,Roy Batty,ndorsey@gmail.com,0,
720396,11/6/2024 4:11,CUST0355,Wells and Sons,61583 Wendy Centers Apt. 716,,Orrberg,MT,1370.33,Cash Counter,Rachael,joshua57@wang.com,1,1/8/2025
708075,1/23/2024 23:47,CUST0361,Grant Group,78492 Jessica Glens Suite 588,,East Ryan,PA,3395.15,Cash Counter,Zhora,sarahclark@gmail.com,0,
218907,5/1/2024 17:34,CUST0364,"Ward, Lynch and Burns",091 Ortiz Wells,Apt. 769,North Peter,AZ,688.38,Online,Rachael,sandra13@bernard.com,0,
