OrderNumber,OrderDateTime,CustomerNumber,CustomerName,Address1,Address2,City,Province,OrderTotal,OrderSource,ContactName,ContactEmail,InternalOrder,ScheduledDelivery,ScheduledDeliveryDate
881146,2023-12-31 22:01:57,CUST0436,Carpenter-Davis,308 Joseph Pike,,Saunderschester,WA,3628.98,Fax,J.F. Sebastian,whitecesar@hotmail.com,1,1,2025-06-25
794580,2024-12-04 05:02:22,CUST0093,Cruz LLC,969 Andrew Curve,,Lake Wendymouth,WY,3864.12,Online,Roy Batty,andrew16@yahoo.com,1,0,
874117,2024-10-26 18:58:11,CUST0470,Hernandez-Watts,3175 Vega Parkway,,Lake Tara,WV,4765.36,SalesRep,Roy Batty,gutierrezscott@gmail.com,0,0,
151911,2024-01-02 19:25:17,CUST0326,"Butler, Smith and Krueger",2080 Mendoza Flat Suite 737,,Hudsonshire,KY,732.61,SalesRep,Bryant,guerrerojesse@flores.com,0,1,2024-08-06
315401,2024-09-07 16:15:32,CUST0162,"Jones, Nelson and Cruz",356 Robinson Plains,,New Candaceberg,OK,2385.31,Phone,Pris Stratton,katherinedavies@hunter-duran.net,1,1,2024-11-18
447710,2023-05-12 10:20:06,CUST0359,Williams Group,267 Parrish Fords Suite 345,,Russoview,ME,509.13,Cash Counter,Rachael,coxjonathan@anderson.info,1,1,2024-08-09
749784,2023-01-24 08:48:56,CUST0416,Richard-Bradley,768 Simpson Falls Suite 560,Apt. 907,Michaelstad,TN,167.99,Fax,Roy Batty,ndorsey@gmail.com,0,0,
720396,2024-11-06 04:11:03,CUST0355,Wells and Sons,61583 Wendy Centers Apt. 716,,Orrberg,MT,1370.33,Cash Counter,Rachael,joshua57@wang.com,0,1,2025-01-08
708075,2024-01-23 23:47:44,CUST0361,Grant Group,78492 Jessica Glens Suite 588,,East Ryan,PA,3395.15,Cash Counter,Zhora,sarahclark@gmail.com,1,0,
218907,2024-05-01 17:34:59,CUST0364,"Ward, Lynch and Burns",091 Ortiz Wells,Apt. 769,North Peter,AZ,688.38,Online,Rachael,sandra13@bernard.com,1,0,
156373,2023-01-03 14:08:07,CUST0338,"Clay, Cordova and Wilson",750 James Motorway,,Cortezhaven,NH,1049.22,Fax,Pris Stratton,sylvia16@davis.org,0,0,
677735,2024-06-09 02:27:18,CUST0292,Jones and Sons,42624 Vance Port,,New Jennifer,MI,1524.65,Fax,Gaff,fsmith@gmail.com,1,1,2025-02-26
360698,2024-08-12 15:46:23,CUST0428,Lindsey-Williams,9685 Roach Springs,,Moranville,LA,3940.75,Phone,J.F. Sebastian,ljones@gmail.com,1,0,
874256,2023-04-04 19:21:39,CUST0027,Jones-Smith,563 Corey Key Apt. 668,,Aaronport,WV,3607.03,SalesRep,Bryant,anthonyvargas@hess-knight.com,1,1,2023-09-02
746520,2024-08-23 00:10:55,CUST0039,Powell-Gonzalez,2040 Jamie Park Suite 519,,Elijahmouth,HI,2710.35,Cash Counter,Zhora,sampsonjohn@smith.com,0,1,2024-09-05
185948,2023-07-31 09:43:26,CUST0388,Martin-Martinez,2395 Lindsey Port Apt. 513,,Port Kimberly,AR,4147.35,SalesRep,Zhora,griffinlaurie@gmail.com,1,0,
506188,2023-10-12 09:18:00,CUST0438,Willis LLC,58059 Sullivan Mall Apt. 879,Apt. 071,Wademouth,CO,4030.76,Cash Counter,Roy Batty,gabrielawilliams@yahoo.com,0,0,
959091,2024-04-08 00:54:17,CUST0217,Blake-Johnson,9537 Wilson Shores,Suite 138,South Dawn,WA,3289.69,SalesRep,Pris Stratton,meganlawrence@miller.com,0,0,
740043,2023-11-07 12:24:14,CUST0361,Grant Group,78492 Jessica Glens Suite 588,,East Ryan,PA,1721.62,SalesRep,Roy Batty,lsmith@graham.info,0,0,
968003,2023-09-28 08:10:08,CUST0310,Stone LLC,790 King Springs Apt. 678,,North Jameshaven,OR,726.01,Cash Counter,Rick Deckard,dyoder@yahoo.com,0,0,
702917,2024-10-31 23:40:16,CUST0355,Wells and Sons,61583 Wendy Centers Apt. 716,,Orrberg,MT,218.07,Fax,Gaff,christinefigueroa@gmail.com,1,1,2025-04-10
994957,2023-02-17 06:30:01,CUST0176,Wells-Cortez,123 Ray Stravenue,,West Joseph,NH,2738.8,Phone,Rachael,atkinsandrew@howe-kelley.org,1,0,
360986,2024-05-10 19:19:01,CUST0019,Petersen and Sons,80838 John Ridge Apt. 021,,Evansview,WA,3323.65,Email,J.F. Sebastian,agarcia@ayala.com,0,1,2025-04-17
151131,2024-09-10 02:58:13,CUST0318,"Reyes, Rodriguez and Luna",112 Williams Estates Suite 409,Apt. 828,New Cherylport,WA,2153.65,SalesRep,Pris Stratton,jessicacasey@robinson.com,0,1,2025-02-21
313193,2023-03-09 23:25:02,CUST0021,Zuniga-Cox,55816 Raymond Trafficway,,Delgadoside,PA,4594.54,Online,Gaff,rryan@gmail.com,1,1,2024-06-18
571362,2024-02-10 02:07:03,CUST0369,"Johnson, Ward and Harmon",3819 Haynes Lock,,Port Christopher,KY,2696.23,Online,Zhora,ryan94@hotmail.com,0,0,
685590,2024-02-24 04:01:40,CUST0465,Johns Ltd,72144 Porter Fields Suite 576,,Williamsport,OR,1816.04,Email,Roy Batty,hamiltonapril@gmail.com,1,1,2024-06-21
621419,2023-05-09 04:42:35,CUST0189,Rios Group,2704 Lester View,,Jordanfurt,KY,4118.09,Online,Zhora,heather42@lopez.com,0,1,2024-07-13
855046,2023-11-03 16:08:38,CUST0204,Proctor Inc,2991 Karina Rest,,New Jasonmouth,TX,387.85,Cash Counter,Zhora,tuckerpeter@blankenship-parker.org,1,1,2025-05-17
931727,2024-04-07 18:27:37,CUST0275,"Perez, Spencer and White",0324 Paul Plaza,Apt. 397,Wardbury,AL,1716.85,Phone,Pris Stratton,wyattbryan@gmail.com,0,0,
459789,2024-06-28 06:32:33,CUST0451,"Moss, Ortiz and Mcdonald",385 Ebony Dale,,East Jasonton,OR,1899.9,Fax,Bryant,lori28@gmail.com,1,1,2024-12-26
450959,2024-11-30 02:43:55,CUST0051,"Lamb, Miller and Green",321 David Summit Apt. 716,,South Hannah,FL,4626.55,Cash Counter,Bryant,jessica98@gmail.com,0,0,
795993,2024-02-19 15:33:23,CUST0212,Anderson-Graham,0031 Cunningham Knolls,,Keithmouth,MS,1493.0,Online,Zhora,weekssydney@santos.com,0,1,2024-11-07
548578,2023-09-05 02:19:54,CUST0305,Gibson PLC,8258 Marshall Prairie Suite 448,,Mendeztown,IA,1065.27,SalesRep,Pris Stratton,burnettjennifer@campbell-hodges.com,0,0,
766141,2024-03-21 04:07:37,CUST0499,Robinson-Russell,009 Debbie Plains,,Sanchezfort,MS,484.72,Fax,Gaff,nathanwilson@yahoo.com,1,1,2024-11-13
877724,2024-02-20 04:18:54,CUST0365,Graves Inc,81998 Susan Parkways Apt. 729,,West Jameshaven,DC,1975.39,SalesRep,Zhora,wreid@schaefer.info,0,1,2025-01-27
377020,2023-12-12 11:06:25,CUST0337,Greene and Sons,041 Lin Highway,,Craigview,VA,282.4,Cash Counter,Rick Deckard,pkim@hotmail.com,0,1,2025-02-28
540311,2024-02-13 18:14:18,CUST0078,Schroeder and Sons,63693 Leslie Forge,,West Amanda,AZ,660.52,SalesRep,J.F. Sebastian,vpowell@yahoo.com,0,1,2025-04-07
164956,2024-12-26 05:02:41,CUST0148,"Serrano, Morales and Acevedo",973 Joseph Mill Suite 590,,Haleyside,MS,146.01,SalesRep,Pris Stratton,smithnathan@kelly.com,0,1,2025-02-20
463351,2023-04-30 07:43:52,CUST0087,"Martin, Cook and Davis",30990 Brian Walks,Suite 114,West Kristin,CA,3353.32,Fax,Rachael,valerie65@martin-jones.net,0,0,
275367,2024-05-01 19:21:27,CUST0211,Thomas Inc,1936 Johnson Union,,East Jamesfurt,MD,1602.05,Email,Roy Batty,marknorris@vasquez-hicks.org,0,1,2024-05-11
337055,2024-10-23 03:02:53,CUST0137,"Whitehead, Dixon and Schwartz",147 Leon Extension,,New Amy,NH,3919.53,Email,Zhora,phunter@yahoo.com,1,0,
779338,2024-09-14 07:06:07,CUST0097,Wright-Collier,62636 Daniel Parks,Suite 232,Lake Annastad,SD,4042.73,Email,Pris Stratton,valeriejones@yahoo.com,0,1,2024-09-17
690350,2024-05-24 01:45:48,CUST0325,Graham-Lawrence,313 Johnston Trafficway,,Ericshire,AR,3804.19,Fax,Roy Batty,lisapierce@peterson.com,0,0,
630633,2024-03-28 05:37:04,CUST0218,Johnson-Hinton,729 Guerra Ports,,Rodneyview,NY,302.58,Email,Rick Deckard,yrocha@harris.com,1,0,
919395,2023-08-24 21:07:19,CUST0400,Wilson PLC,1857 William Overpass Apt. 952,,Martinezfurt,IL,4710.88,SalesRep,Pris Stratton,jacoblynch@yahoo.com,0,1,2025-02-15
228086,2023-06-29 09:22:16,CUST0234,Cantu Ltd,1627 Hernandez Island Suite 090,,Wagnerton,DC,2540.16,Online,Rachael,timothy90@love-norris.com,1,0,
287977,2023-10-10 05:08:22,CUST0401,"Peterson, Martin and Mclean",78643 Brian Motorway Suite 337,,East Paula,AZ,3608.12,Online,Zhora,aguirreamanda@hotmail.com,0,1,2024-08-28
948552,2023-02-08 23:32:21,CUST0426,Underwood Group,83494 Rangel Parks Apt. 955,Suite 346,Nathanhaven,MT,2378.76,Phone,Rick Deckard,kimberly78@hotmail.com,0,0,
690214,2023-05-27 21:41:41,CUST0489,"Rivera, Gordon and Cunningham",1451 William Flats Suite 931,,New William,OH,739.48,Fax,J.F. Sebastian,wcantu@hotmail.com,1,1,2024-09-16
594758,2024-09-25 17:59:28,CUST0310,Stone LLC,790 King Springs Apt. 678,,North Jameshaven,OR,2402.96,Email,Pris Stratton,tanyasandoval@reese.com,1,0,
649488,2023-11-29 07:40:46,CUST0261,Meyer-Marquez,9462 Mitchell Walk Suite 888,,Ryanville,NY,1203.27,Online,Rachael,curtis45@gmail.com,0,1,2024-01-07
304398,2023-12-03 18:54:19,CUST0310,Stone LLC,790 King Springs Apt. 678,,North Jameshaven,OR,3807.29,Phone,Bryant,camachoshannon@doyle.info,1,0,
